PWM,K,tau,L
-5299,0.215029126866413,0.025520617111583,0.015
-5199,0.219307873137845,0.024850457517856,0.014
-5099,0.223892563491976,0.025144623526297,0.015
-4999,0.228168362772015,0.02489908290322,0.015
-4899,0.232865318897418,0.02564828616248,0.014
-4799,0.237645162716731,0.025411386872351,0.015
-4699,0.242161218643087,0.026266276544541,0.014
-4599,0.242343224404658,0.026677679804181,0.014
-4499,0.238466167833377,0.027360548477487,0.014
-4399,0.226915160256193,0.026379409946319,0.015
-4299,0.226934249678904,0.02624990518733,0.015
-4199,0.222877055955071,0.027112661324447,0.014
-4099,0.217695940115646,0.026591778774134,0.015
-3999,0.212450175873102,0.026483836160859,0.014
-3899,0.213271788238053,0.02699793458229,0.013
-3799,0.211669224986599,0.026676144268573,0.014
-3699,0.209442453855397,0.025802097973124,0.015
-3599,0.207008352901194,0.025883363435918,0.014
-3499,0.204750136547376,0.025424038111915,0.015
-3399,0.202752381921389,0.024312533295154,0.016
-3299,0.201610880748028,0.026766507232892,0.013
-3199,0.200551798695492,0.026912212292528,0.013
-3099,0.19954736239681,0.026458875143297,0.013
-2999,0.198810834474042,0.026021201642516,0.013
-2899,0.198196656162405,0.026031690535883,0.014
-2799,0.197317281258074,0.026105943243039,0.013
-2699,0.196449960167628,0.02576402196788,0.015
-2599,0.195400055445215,0.026173902129706,0.014
-2499,0.194342899823015,0.024875007916177,0.015
-2399,0.193350433835479,0.025006598361605,0.015
-2299,0.192109301842745,0.024775448111061,0.016
-2199,0.190917140003713,0.025526418776787,0.015
-2099,0.189414208515014,0.025262989040672,0.016
-1999,0.187613411000621,0.025543146538807,0.016
-1899,0.185784134188078,0.028322477164,0.011
-1799,0.183408743986886,0.025348422404666,0.016
-1699,0.180562806956803,0.026495519297648,0.016
-1599,0.176848578343244,0.029890107133929,0.011
-1499,0.170887239709687,0.031127232345929,0.011
-1399,0.161703065775872,0.031576348374856,0.012
-1299,0.149026087219019,0.029465160852773,0.014
-1199,0.128728028384458,0.030276330669255,0.015
-1099,0.104038493821277,0.032460076007874,0.019
-999,0.074965990077632,0.046511497111852,0.007
-899,0,0.099916115502435,0.0499999999
-799,0,0.099923670839411,0.0499999999
-699,0,0.09993234976921,0.0499999999
-599,0,0.099942186880335,0.0499999999
-499,0,0.099953765915599,0.0499999999
-399,0,0.099966716360317,0.0499999999
-299,0,0.099980947132649,0.0499999999
-199,0,0.099994063697631,0.0499999999
-99,0,0.096545242378013,0.0499999999
201,0,0.099597831336598,0.0499999999
301,0,0.094522692009258,0.0499999999
401,0,0.099993706517213,0.0499999999
501,0,0.099974451353365,0.0499999999
601,0,0.097624999424556,0.0499999999
701,0,0.097890029354371,0.0499999999
801,0,0.098066309156323,0.0499999999
901,0,0.098194162070845,0.0499999999
1001,0.070533763061022,0.058770840309853,0.012
1101,0.102466081963318,0.036697422153981,0.007
1201,0.127716163054243,0.028779994930573,0.016
1301,0.148101126549881,0.029038933531756,0.014
1401,0.163561251672125,0.026513530124558,0.018
1501,0.173563925068504,0.030628641923887,0.01
1601,0.179904168253243,0.024168200723968,0.018
1701,0.184591307063014,0.027371575827225,0.013
1801,0.188084105261928,0.027977357927,0.012
1901,0.191126949936838,0.026927751695391,0.014
2001,0.193494936723094,0.025729342052229,0.015
2101,0.195410542750276,0.027404129030527,0.012
2201,0.197007248784999,0.027762545608624,0.012
2301,0.19826197426391,0.027368007563373,0.014
2401,0.199460955180796,0.027802030865663,0.012
2501,0.200831064286068,0.027802809876786,0.012
2601,0.201927338342949,0.02735796511608,0.014
2701,0.202725916826461,0.026224523364185,0.014
2801,0.20380374356386,0.026599825888642,0.013
2901,0.20464187850424,0.026376756913656,0.014
3001,0.205790623920177,0.025815307802805,0.014
3101,0.206519094443085,0.026608739870295,0.013
3201,0.207305246450508,0.024656748563374,0.016
3301,0.208259939798102,0.02581186928079,0.014
3401,0.209292651683379,0.025763754751142,0.015
3501,0.211179265841535,0.027529181193876,0.013
3601,0.213752538622841,0.026007407910929,0.015
3701,0.216123724531803,0.027040499610358,0.014
3801,0.21857265074573,0.02656219379734,0.015
3901,0.220668430556053,0.026684397504261,0.015
4001,0.222943950285262,0.028607826751389,0.013
4101,0.224352931384772,0.027708140933561,0.014
4201,0.229859895919711,0.026811778660994,0.014
4301,0.235204612165087,0.026092397380155,0.015
4401,0.235851432379211,0.026133094781719,0.015
4501,0.247160859744034,0.02830730605518,0.013
4601,0.251399197182159,0.026971238177259,0.014
4701,0.250557269909028,0.026680168310061,0.014
4801,0.24581841649922,0.025761202714486,0.015
4901,0.240295336953416,0.025880577219497,0.014
5001,0.235419763451219,0.025589479075989,0.015
5101,0.230943029442492,0.025436520017648,0.015
5201,0.226474139593328,0.025045122653894,0.015
